r1,r2,r3,r4,q1,q2,q3,q4,q5,q6
9999.0,0.68,0.6,9999.0,-0.510474,-0.379621,0.85488,-0.565161,-1.47219,-0.0520989
9999.0,0.68,0.6,9999.0,-0.510439,-0.379533,0.854877,-0.557303,-1.47532,-0.0625369
9999.0,0.56,0.6,9999.0,-0.510439,-0.379533,0.854877,-0.557303,-1.47532,-0.0625369
9999.0,0.56,0.6,9999.0,-0.510406,-0.379447,0.854875,-0.549561,-1.47837,-0.0728311
9999.0,0.56,0.6,9999.0,-0.510374,-0.379364,0.854873,-0.541935,-1.48136,-0.0829799
9999.0,0.56,0.6,9999.0,-0.510374,-0.379364,0.854873,-0.541935,-1.48136,-0.0829799
9999.0,0.56,0.6,9999.0,-0.510344,-0.379284,0.85487,-0.534428,-1.48428,-0.0929818
9999.0,0.56,0.6,9999.0,-0.510344,-0.379284,0.85487,-0.534428,-1.48428,-0.0929818
9999.0,0.47,0.6,9999.0,-0.510314,-0.379206,0.854867,-0.52704,-1.48713,-0.102835
9999.0,0.47,0.6,9999.0,-0.510286,-0.37913,0.854864,-0.519775,-1.48992,-0.112539
9999.0,0.47,0.6,9999.0,-0.510286,-0.37913,0.854864,-0.519775,-1.48992,-0.112539
9999.0,0.47,0.6,9999.0,-0.51026,-0.379058,0.854861,-0.512633,-1.49263,-0.12209
9999.0,0.47,0.6,9999.0,-0.510234,-0.378987,0.854857,-0.505617,-1.49528,-0.13149
9999.0,0.47,0.6,9999.0,-0.510234,-0.378987,0.854857,-0.505617,-1.49528,-0.13149
9999.0,0.47,0.6,9999.0,-0.510209,-0.37892,0.854854,-0.498728,-1.49786,-0.140734
9999.0,0.41,0.6,9999.0,-0.510186,-0.378855,0.85485,-0.491967,-1.50038,-0.149824
9999.0,0.41,0.6,9999.0,-0.510186,-0.378855,0.85485,-0.491967,-1.50038,-0.149824
9999.0,0.41,0.6,9999.0,-0.510164,-0.378792,0.854847,-0.485337,-1.50283,-0.158756
9999.0,0.41,0.57,9999.0,-0.510144,-0.378733,0.854843,-0.478838,-1.50522,-0.16753
9999.0,0.41,0.57,9999.0,-0.510144,-0.378733,0.854843,-0.478838,-1.50522,-0.16753
9999.0,0.41,0.57,9999.0,-0.510124,-0.378675,0.854839,-0.472474,-1.50754,-0.176145
9999.0,0.5,0.57,9999.0,-0.510106,-0.378621,0.854835,-0.466244,-1.5098,-0.184599
9999.0,0.5,0.57,9999.0,-0.510106,-0.378621,0.854835,-0.466244,-1.5098,-0.184599
9999.0,0.5,0.57,9999.0,-0.510089,-0.378569,0.854831,-0.460151,-1.512,-0.192891
9999.0,0.5,0.57,9999.0,-0.510073,-0.378519,0.854826,-0.454196,-1.51414,-0.201021
9999.0,0.5,0.57,9999.0,-0.510073,-0.378519,0.854826,-0.454196,-1.51414,-0.201021
9999.0,0.5,0.57,9999.0,-0.510059,-0.378472,0.854822,-0.448381,-1.51622,-0.208987
9999.0,0.51,0.57,9999.0,-0.510059,-0.378472,0.854822,-0.448381,-1.51622,-0.208987
9999.0,0.51,0.57,9999.0,-0.510046,-0.378428,0.854817,-0.442706,-1.51823,-0.216787
9999.0,0.51,0.57,9999.0,-0.510034,-0.378387,0.854813,-0.437174,-1.52019,-0.224422
9999.0,0.51,0.65,9999.0,-0.510034,-0.378387,0.854813,-0.437174,-1.52019,-0.224422
9999.0,0.51,0.65,9999.0,-0.510023,-0.378348,0.854808,-0.431786,-1.52209,-0.231889
9999.0,0.51,0.65,9999.0,-0.510014,-0.378311,0.854803,-0.426543,-1.52393,-0.239189
9999.0,0.43,0.65,9999.0,-0.510014,-0.378311,0.854803,-0.426543,-1.52393,-0.239189
9999.0,0.43,0.65,9999.0,-0.510006,-0.378277,0.854798,-0.421446,-1.52571,-0.246319
9999.0,0.43,0.65,9999.0,-0.509999,-0.378246,0.854793,-0.416497,-1.52743,-0.25328
9999.0,0.43,0.65,9999.0,-0.509999,-0.378246,0.854793,-0.416497,-1.52743,-0.25328
9999.0,0.43,0.68,9999.0,-0.509994,-0.378217,0.854788,-0.411697,-1.5291,-0.26007
9999.0,0.43,0.68,9999.0,-0.509989,-0.378191,0.854782,-0.407047,-1.53071,-0.266689
9999.0,0.43,0.68,9999.0,-0.509989,-0.378191,0.854782,-0.407047,-1.53071,-0.266689
9999.0,0.38,0.68,9999.0,-0.509986,-0.378167,0.854777,-0.402548,-1.53227,-0.273136
9999.0,0.38,0.68,9999.0,-0.509984,-0.378146,0.854771,-0.398202,-1.53377,-0.279409
9999.0,0.38,0.68,9999.0,-0.509984,-0.378146,0.854771,-0.398202,-1.53377,-0.279409
9999.0,0.38,0.7,9999.0,-0.509984,-0.378128,0.854766,-0.394009,-1.53522,-0.285509
9999.0,0.38,0.7,9999.0,-0.509985,-0.378112,0.85476,-0.389971,-1.53661,-0.291434
